Year,Route,Route_Side,Member_Deaths,Hired_Deaths,Total_Deaths,Highpoint_m,Cause,Details
1992,S Col-SE Ridge,South (Nepal),2,0,2,8750,Unknown,Sah and Dorje slight frostbite
1992,S Col-SE Ridge,South (Nepal),0,1,1,7300,Unknown,Iman Gurung sick (flu?)
1992,S Col-SE Ridge,South (Nepal),0,1,1,7750,Altitude Sickness,Garrido slight pulmonary edema going to BC too fast
1992,S Col-SE Ridge,South (Nepal),0,1,1,8000,Unknown,Murua frostbite fingers (may lose tips)
1992,S Col-SE Ridge,South (Nepal),0,1,1,8849,Fall,Jacquet pneumonia; Aubertin great pain in knees; Ang Gyalzen fell into river after leaving BC for home village
1993,S Col-SE Ridge,South (Nepal),1,1,2,8849,Altitude Sickness,Nanda Rai altitude sickness at C2 and had to be helped to BC and left BC in chopper with [Lhakpa] Sonam on 25th
1993,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Altitude Sickness,None except Henize's fatal altitude sickness
1993,S Pillar-SE Ridge,South (Nepal),1,0,1,8849,Unknown,
1993,SW Face (to 8450m),South (Nepal),2,0,2,8849,Unknown,Kim Tae-Kon slight frostbite
1993,S Col-SE Ridge,South (Nepal),1,0,1,8849,Unknown,Zangbu back problem of unknown cause & left early
1994,N Rib-W Ridge,North (China/Tibet),0,1,1,7060,Avalanche,Ang Temba's finger end cut off by taut rope at time 4 others were hit by avalanche; Mingma Norbu killed by avalanche
1994,N Face (Great Couloir),North (China/Tibet),1,1,2,8400,Fall,Curnis frostbitten fingers; leader fell and 1 cook boy died altitude sickness
1994,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Exhaustion/Exposure,"Ang Phinzo stroke at ABC 5th May but recovered completely; Hahn needed help in descent, so did Morgan; Rheinburger died of exhaustion after summiting"
1994,N Col-NE Ridge (up); Great Couloir (down),North (China/Tibet),1,0,1,8849,Unknown,None except Shih's death
1995,S Col-SE Ridge,South (Nepal),0,1,1,8500,Fall,Berg's fall & Sherpa's death only
1995,N Col-NE Ridge,North (China/Tibet),0,1,1,8849,Unknown,Park critical stomach perforation & appendicitis; Jo slight frostbite
1995,N Face (Japanese & Hornbein Couloirs) (to 6600m),North (China/Tibet),1,0,1,8500,Avalanche,None on Everest itself; Xavier Lamas killed by avalanche on nearby Changzheng (6977m) while descending from summit during acclimatization climb
1995,NE Ridge (to 7700m),North (China/Tibet),0,1,1,8849,Avalanche,Avalanche 10 Sept also injured 2 Koreans and another Sherpa
1996,N Col-NE Ridge,North (China/Tibet),3,0,3,8849,Unknown,3 died on summit attempt
1996,S Col-SE Ridge,South (Nepal),1,1,2,8849,Altitude Sickness,Fischer died of cerebral edema; Fox and Madsen altitude sickness; Kruse altitude sickness 2nd time in C1 about 6 May and left night after 10th; Nielson frostbitten fingers
1996,S Col-SE Ridge,South (Nepal),4,0,4,8849,Fall,Tenzin fell into crevasse between C1 & C2 climb; Weathers had snow[-blind] problem from arrival at C1 on 16th April to S Col)
1996,S Col-SE Ridge,South (Nepal),1,0,1,8849,Fall,Gau badly frostbitten during bivouac at 8300m; Chen fatal fall
1996,S Col-SE Ridge,South (Nepal),1,0,1,8849,Unknown,None except Herrod's death
1996,N Col-N Face (Great Couloir) (to 8300m),North (China/Tibet),1,0,1,8300,Altitude Sickness,All members especially Balog brothers had altitude problems; no other serious problem except Wlasich death
1996,S Col-SE Ridge,South (Nepal),1,0,1,7900,Avalanche,2 avalanches (1 fatal)
1996,S Col-SE Ridge,South (Nepal),0,1,1,8849,Avalanche,Kipa 'no good condition' 8 days of summit time; 21 Sept avalanche from Lhotse killed Dawa (Salleri) & Lobsang Jangbu
1996,S Col-SE Ridge,South (Nepal),0,1,1,7800,Avalanche,Nothing except fatal avalanche
1997,N Col-NE Ridge,North (China/Tibet),1,0,1,7000,Avalanche,Nothing except fatal avalanche which killed Choi
1997,S Col-SE Ridge,South (Nepal),1,0,1,8849,Heart Attack,Duff probably died of heart attack on 22-23 April
1997,N Col-NE Ridge,North (China/Tibet),1,0,1,8560,Disappeared,Kowalzik (soloist) disappeared; Kowalzik not well
1997,N Col-NE Ridge,North (China/Tibet),0,1,1,8849,Fall,Mingma Tamang slipped at 8500m and fell 2500m body not found
1997,N Col-NE Ridge,North (China/Tibet),3,0,3,8849,Unknown,Frolov serious frostbite; Ovsharenko mild frostbite; 3 dead on summit attempt
1997,S Col-SE Ridge,South (Nepal),0,1,1,8849,Fall,Nima Rinzi fatal fall on May 6
1997,S Col-SE Ridge,South (Nepal),0,1,1,8849,Unknown,
1998,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,
1998,N Col-NE Ridge,North (China/Tibet),1,0,1,7400,Unknown,
1998,N Col-NE Ridge,North (China/Tibet),2,0,2,8849,Unknown,Paskin and Piotr Kuznetsov throat infections and left early
1999,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,
1999,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Heart Attack,Gorbach serious frostbite all left fingers and all toes and nose; Simonenko heart attack at BC; Kopytko disappeared
1999,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,Joao bad frostbite both hands and nose; both feet also frostbitten
1999,S Col-SE Ridge,South (Nepal),1,0,1,8849,Avalanche,Smith toes both feet frostbitten but will heal; Everett avalanches; Tinker altitude; Matthews disappeared (fell?)
2000,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Altitude Sickness,Lhakpa Gyalzen Sherpa acute altitude sickness
2000,N Col-NE Ridge,North (China/Tibet),1,0,1,8500,Fall,Stoltz fatal fall
2001,S Col-SE Ridge,South (Nepal),0,1,1,8849,Unknown,O'Bryan trouble breathing (asthema) while descending from top on 23 May; Babu Chiri's death
2001,S Col-SE Ridge,South (Nepal),1,0,1,8500,Fall,Ganner died in fall
2001,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,Auricht died of stroke
2001,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,Nothing except Nikiforov who died
2001,N Col-NE Ridge,North (China/Tibet),1,0,1,7800,Fall,Keresztesi badly frostbitten fingers during descent and snowblindness; Gardos fatal fall in storm
2002,N Col-NE Ridge,North (China/Tibet),1,0,1,8500,Altitude Sickness,Loredo & 2 Sherpas pneumonia; Katsurov altitude sickness; Miletic death
2002,S Col-SE Ridge,South (Nepal),1,0,1,8849,Altitude Sickness,Ang Nuru slight frostbite; Acs serious pulmonary edema
2002,"N Col-NE Ridge (up), N Face (Hornbein) (down)",North (China/Tibet),1,0,1,8849,Unknown,Nothing except fatality
2003,N Col-NE Ridge,North (China/Tibet),1,0,1,7600,Fall,Liszewski's fatal fall
2003,S Col-SE Ridge,South (Nepal),0,1,1,8849,Fall,1 Sherpa fell and broke ankle (Pemba Tenzi); Watkins cerebral edema (had gone a little way into icefall); Bousselaire developed pulmonary edema; Guller brief snowblindness; 1 Sherpa died of AMS
2003,S Col-SE Ridge,South (Nepal),1,0,1,8849,Fall,Death of assistant TV cameraman Arnaud Saulnier in BC on night of 8th or 9th due to heart failure; Blanc-Vial broken arm; Gueorguievsky fell into crevasses hurt his ribs; Loizeau got frostbite of 4 fingers; Blanc-Vial fell & broke left arm
2003,S Col-SE Ridge,South (Nepal),1,0,1,8849,Fall,Bhim Bahadur Gurung fatal fall
2004,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,Petkov's blindness; Hristov died during descent
2004,N Col-NE Ridge,North (China/Tibet),1,0,1,8700,Unknown,
2004,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Fall,Ota fatal fall at Second Step
2004,N Col-NE Ridge,North (China/Tibet),3,0,3,8849,Unknown,Fatalities; Lhakpa Gelu frostbite; 2 members snowblind
2004,S Col-SE Ridge,South (Nepal),1,0,1,8849,Exhaustion/Exposure,Antezana died (of exhaustion?) at balcony on descent from summit
2005,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,Pokhvalin frostbitten left foot; Kikstra eye hemorrhage; Gariano temporary lost of eyesight at 8600m; Lihteneker death
2005,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,
2005,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Fall,Mukherjee frostbitten during summit attempt; Chaitanya fatal fall
2005,S Col-SE Ridge,South (Nepal),1,0,1,6000,Unknown,
2005,S Col-SE Ridge,South (Nepal),1,0,1,8500,Unknown,Only fatal episode
2005,S Col-SE Ridge,South (Nepal),1,0,1,8849,Fall,Fatal fall by Mike O'Brien only
2006,N Col-NE Ridge,North (China/Tibet),0,1,1,8849,Altitude Sickness,Several frostbite cases; Thapa Magar died of pulmonary edema
2006,N Col-NE Ridge,North (China/Tibet),2,0,2,8849,Unknown,
2006,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Fall,Kishan slipped at 8400m and fell down; Anand cerebral edema
2006,N Col-NE Ridge (up); N Face (Great Couloir) (down),North (China/Tibet),1,0,1,8849,Fall,Olsson's fatal fall
2006,N Col-NE Ridge,North (China/Tibet),1,0,1,8500,Unknown,Sharp frozen to death in the rock cave at 8500m on May 15
2006,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,Letrange fatality on descent from summit
2006,S Col-SE Ridge,South (Nepal),0,1,1,8849,Fall,"Gerstein suffered from stroke; Allen suffered from chest infection; Khumbu Icefall collapsed on Ang Phintso, aka Tenzing Phinzo (Phortse)"
2006,S Col-SE Ridge,South (Nepal),0,2,2,8849,Fall,Dawa Temba and Lhakpa Tsering died in the icefall
2006,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,Negrete died due to hypothermia
2007,SW Face,South (Nepal),2,0,2,8000,Unknown,
